ID,STATE_NAME,COUNTY,CITY,LATITUDE,LONGITUDE
1419,Arizona,Maricopa,Aguila,33.942778,-113.173333
1420,Arizona,Pima,Ajo,32.373485,-112.858681
1421,Arizona,Apache,Alpine,33.827878,-109.12829
1422,Arizona,"Santa Cruz",Amado,31.643759,-111.072233
1423,Arizona,Pinal,"Apache Junction",33.3277,-111.3259
1424,Arizona,Pima,Arivaca,31.574722,-111.331667
1425,Arizona,Pinal,"Arizona City",32.755833,-111.670278
1426,Arizona,Maricopa,Arlington,33.313317,-112.789058
1427,Arizona,Yavapai,"Ash Fork",35.214998,-112.502681
1428,Arizona,Maricopa,Avondale,33.432114,-112.343754
1429,Arizona,Yavapai,Bagdad,34.578484,-113.175535
1430,Arizona,Pinal,Bapchule,33.136389,-111.8725
1431,Arizona,Coconino,Bellemont,35.238056,-111.832778
1432,Arizona,Cochise,Benson,31.98826,-110.294113
1433,Arizona,Cochise,Bisbee,31.408557,-109.911736
1434,Arizona,Yavapai,"Black Canyon City",34.073197,-112.130956
1435,Arizona,Greenlee,Blue,33.651245,-109.06849
1436,Arizona,Navajo,"Blue Gap",36.100833,-110.225278
1437,Arizona,"La Paz",Bouse,33.9325,-114.005
1438,Arizona,Cochise,Bowie,32.326389,-109.486389
1439,Arizona,Maricopa,Buckeye,33.38896,-112.607728
1440,Arizona,Mohave,"Bullhead City",35.1678,-114.543
1441,Arizona,Graham,Bylas,33.126549,-110.11702
1442,Arizona,Coconino,Cameron,35.7163,-111.4088
1443,Arizona,Yavapai,"Camp Verde",34.569733,-111.855131
1444,Arizona,Maricopa,Carefree,33.822222,-111.9175
1445,Arizona,Pinal,"Casa Grande",32.892667,-111.756093
1446,Arizona,Maricopa,Cashion,33.435278,-112.297222
1447,Arizona,Pima,Catalina,32.497222,-110.923611
1448,Arizona,Maricopa,"Cave Creek",33.833333,-111.95
1449,Arizona,Graham,Central,32.8675,-109.792222
1450,Arizona,Apache,Chambers,35.143044,-109.37389
